index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
0,Depicting Decision-Making: A Type-2 Fuzzy Logic Based Explainable Artificial Intelligence System for Goal-Driven Simulation in the Workforce Allocation Domain,E. Ferreyra; H. Hagras; M. Kern; G. Owusu,"The Computational Intelligence Centre, School of Computer Science and Electronic Engineering, University of Essex, Colchester, UK; The Computational Intelligence Centre, School of Computer Science and Electronic Engineering, University of Essex, Colchester, UK; Applied Research, BT, Adastral Park, Martlesham Heath, Ipswich, UK; Applied Research, BT, Adastral Park, Martlesham Heath, Ipswich, UK",2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2019,,,1,6,"The recent years have witnessed a growing anticipation for the positive transformation of industries which adopt Artificial Intelligence (AI) for the core areas of their business activities. However, the effectiveness and reliability of such AI systems must comprise the ability to explain their data acquisition, the underlying algorithms operations and the final decisions to stakeholders, including regulators, risk managers, supervisors and end-users among others. There are plenty of areas where Explainable AI (XAI) holds the promise to be a major disruptor. Particularly, in Telecommunication Service Providers (TSPs) which is a core business activity relating to the workforce allocation domain, which, involves costly and time-consuming scheduling processes. This paper focuses on the construction of an XAI framework to assist workforce allocation based on a big bang- big crunch interval type-2 fuzzy logic system (BB-BC IT2FLS) for modelling and scaling goal-driven simulation (GDS) problems, specifically within the telecommunications industry. The obtained results reported the proposed XAI system produces similar results to opaque box models like Neural Networks (NNs) and LSTM Recurrent NNs while being able to explain the decision and operation of the employed system.",1558-4739,978-1-5386-1728-1,10.1109/FUZZ-IEEE.2019.8858933,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858933,Explainable AI;interval type-2 fuzzy logic systems;goal-driven simulation;big bang-big crunch,Artificial intelligence;Fuzzy logic;Resource management;Fuzzy sets;Uncertainty;Computational modeling,artificial intelligence;business data processing;decision making;fuzzy logic;fuzzy set theory;fuzzy systems;recurrent neural nets;risk management;telecommunication services,workforce allocation domain;growing anticipation;business activities;AI systems;data acquisition;Explainable AI;BB-BC IT2FLS;XAI system;telecommunication service providers;scheduling processes;decision-making depiction;type-2 fuzzy logic based explainable artificial intelligence system;goal-driven simulation modelling;TSPs;big bang- big crunch interval type-2 fuzzy logic system;LSTM recurrent NNs;GDS;neural networks,,,32.0,,,,,IEEE,IEEE Conferences
1,Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),A. Adadi; M. Berrada,"Computer and Interdisciplinary Physics Laboratory, Sidi Mohammed Ben Abdellah University, Fez, Morocco; Computer and Interdisciplinary Physics Laboratory, Sidi Mohammed Ben Abdellah University, Fez, Morocco",IEEE Access,,2018,6,,52138,52160,"At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.",2169-3536,,10.1109/ACCESS.2018.2870052,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466590,Explainable artificial intelligence;interpretable machine learning;black-box models,Conferences;Machine learning;Market research;Prediction algorithms;Machine learning algorithms;Biological system modeling,artificial intelligence,AI-based systems;black-box nature;explainable AI;XAI;explainable artificial intelligence;fourth industrial revolution,,18.0,180.0,,,,,IEEE,IEEE Journals
2,explAIner: A Visual Analytics Framework for Interactive and Explainable Machine Learning,T. Spinner; U. Schlegel; H. Schäfer; M. El-Assady,University of Konstanz; University of Konstanz; University of Konstanz; University of Konstanz,IEEE Transactions on Visualization and Computer Graphics,,2020,26,1.0,1064,1074,"We propose a framework for interactive and explainable machine learning that enables users to (1) understand machine learning models; (2) diagnose model limitations using different explainable AI methods; as well as (3) refine and optimize the models. Our framework combines an iterative XAI pipeline with eight global monitoring and steering mechanisms, including quality monitoring, provenance tracking, model comparison, and trust building. To operationalize the framework, we present explAIner, a visual analytics system for interactive and explainable machine learning that instantiates all phases of the suggested pipeline within the commonly used TensorBoard environment. We performed a user-study with nine participants across different expertise levels to examine their perception of our workflow and to collect suggestions to fill the gap between our system and framework. The evaluation confirms that our tightly integrated system leads to an informed machine learning process while disclosing opportunities for further extensions.",1941-0506,,10.1109/TVCG.2019.2934629,European Union's Horizon 2020 research and innovation programme; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807299,Explainable AI;Interactive Machine Learning;Deep Learning;Visual Analytics;Interpretability;Explainability,Data models;Analytical models;Computational modeling;Pipelines;Machine learning;Monitoring,data analysis;data visualisation;interactive systems;learning (artificial intelligence),explAIner;visual analytics framework;interactive machine learning;explainable machine learning;AI methods;machine learning process;XAI pipeline,,2.0,86.0,,,,,IEEE,IEEE Journals
3,Improvement in Deep Networks for Optimization Using eXplainable Artificial Intelligence,J. h. Lee; I. h. Shin; S. g. Jeong; S. Lee; M. Z. Zaheer; B. Seo,University of Science and Technology; University of Science and Technology; University of Science and Technology; University of Science and Technology; University of Science and Technology; University of Science and Technology,2019 International Conference on Information and Communication Technology Convergence (ICTC),,2019,,,525,530,"With the recent advancements in the field of explainable artificial intelligence (XAI), which covers the domain of turning deep network architectures from black boxes to comprehensible structures, it became easy to understand what goes on inside a network when it predicts an output. Many researchers have successfully shown the `thought process' behind a network's decision making. This rich and interesting information has not been utilized beyond the scope of visualizations once the training finish. In this work, a novel idea to utilize this insight to the network as a training parameter is proposed. Layer-wise Relevance Propagation (LRP), which obtains the effect of each neuron towards the output of the whole network, is used as a parameter, along with learning rate and network weights, to optimize the training. Various intuitive formulations have been proposed, and the results of the experiments on MNIST and CIFAR-10 datasets have been reported in this paper. Our proposed methodologies show better or comparable performances against conventional optimization algorithms. This would open a new dimension of research to explore the possibility of using XAI in optimizing the training of neural networks.",2162-1233,978-1-7281-0893-3,10.1109/ICTC46691.2019.8939943,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939943,explainable artificial intelligence;neural network;optimization;layer-wise relevance propagation,,artificial intelligence;backpropagation;decision making;mathematics computing;neural nets;optimisation,decision making;Layer-wise Relevance Propagation;optimization algorithms;XAI;neural networks;deep networks;explainable artificial intelligence;deep network architectures;data visualizations;LRP;MNIST dataset;CIFAR-10 dataset,,,24.0,,,,,IEEE,IEEE Conferences
4,Explainable artificial intelligence: A survey,F. K. Došilović; M. Brčić; N. Hlupić,"University of Zagreb Faculty of Electrical Engineering and Computing, Zagreb, Croatia; University of Zagreb Faculty of Electrical Engineering and Computing, Zagreb, Croatia; University of Zagreb Faculty of Electrical Engineering and Computing, Zagreb, Croatia","2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",,2018,,,0210,0215,"In the last decade, with availability of large datasets and more computing power, machine learning systems have achieved (super)human performance in a wide variety of tasks. Examples of this rapid development can be seen in image recognition, speech analysis, strategic game planning and many more. The problem with many state-of-the-art models is a lack of transparency and interpretability. The lack of thereof is a major drawback in many applications, e.g. healthcare and finance, where rationale for model's decision is a requirement for trust. In the light of these issues, explainable artificial intelligence (XAI) has become an area of interest in research community. This paper summarizes recent developments in XAI in supervised learning, starts a discussion on its connection with artificial general intelligence, and gives proposals for further research directions.",,978-953-233-095-3,10.23919/MIPRO.2018.8400040,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400040,explainable artificial intelligence;interpretability;explainability;comprehensibility,Predictive models;Machine learning;Support vector machines;Decision trees;Supervised learning;Optimization,learning (artificial intelligence),interpretability;healthcare;finance;explainable artificial intelligence;XAI;recent developments;supervised learning;artificial general intelligence;datasets;computing power;machine learning systems;(super)human performance;image recognition;speech analysis;strategic game planning;state-of-the-art models;transparency,,1.0,54.0,,,,,IEEE,IEEE Conferences
5,Explainable AI for Designers: A Human-Centered Perspective on Mixed-Initiative Co-Creation,J. Zhu; A. Liapis; S. Risi; R. Bidarra; G. M. Youngblood,"Drexel University, Philadelphia, USA; University of Malta, Msida, Malta; IT University of Copenhagen, Copenhagen, Denmark; Delft University of Technology, Delft, The Netherlands; Palo Alto Research Center, California, USA",2018 IEEE Conference on Computational Intelligence and Games (CIG),,2018,,,1,8,"Growing interest in eXplainable Artificial Intelligence (XAI) aims to make AI and machine learning more understandable to human users. However, most existing work focuses on new algorithms, and not on usability, practical interpretability and efficacy on real users. In this vision paper, we propose a new research area of eXplainable AI for Designers (XAID), specifically for game designers. By focusing on a specific user group, their needs and tasks, we propose a human-centered approach for facilitating game designers to co-create with AI/ML techniques through XAID. We illustrate our initial XAID framework through three use cases, which require an understanding both of the innate properties of the AI techniques and users' needs, and we identify key open challenges.",2325-4289,978-1-5386-4359-4,10.1109/CIG.2018.8490433,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8490433,explainable artificial intelligence;mixed-initiative co-creation;human-computer interaction;machine learning;game design,Games;Task analysis;Machine learning;Neurons;Visualization;Tools,computer games;human computer interaction;learning (artificial intelligence),game designers;AI/ML techniques;human-centered perspective;AI machine;human-centered approach;explainable artificial intelligence;mixed-initiative co-creation;XAI;machine learning;explainable AI for designers;XAID framework,,2.0,34.0,,,,,IEEE,IEEE Conferences
6,Explainable A.I.: The Promise of Genetic Programming Multi-run Subtree Encapsulation,D. Howard; M. A. Edwards,"Howard Sci. Ltd., Malvern, UK; Howard Sci. Ltd., Malvern, UK",2018 International Conference on Machine Learning and Data Engineering (iCMLDE),,2018,,,158,159,"Deep Learning and other Artificial Neural Network based solutions are rarely transparent, and white-box solutions are often called for. This paper explains how Multirun Subtree Encapsulation can provide equivalent white box solutions to facilitate Explainable Artificial Intelligence.",,978-1-7281-0404-1,10.1109/iCMLDE.2018.00037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614020,Explainable Artificial Intelligence;A.I.;Genetic Programming;Evolutionary Computation;modularization;Subtree Encapsulation;Automatically Defined Functions;Software Evolution;white box;black box;expression simplification;Deep Learning;Artificial Neural Networks;Multirun Subtree Encapsulation;subtree database,Encapsulation;Databases;Genetic programming;Standards;Deep learning;Artificial neural networks,data encapsulation;genetic algorithms;learning (artificial intelligence);neural nets;trees (mathematics),white-box solutions;artificial neural network;explainable artificial intelligence;genetic programming;deep learning;multirun subtree encapsulation;explainable AI,,,5.0,,,,,IEEE,IEEE Conferences
7,Explainable Machine Learning for Scientific Insights and Discoveries,R. Roscher; B. Bohn; M. F. Duarte; J. Garcke,"Institute of Geodesy and Geoinformation, University of Bonn, Bonn, Germany; Institute for Numerical Simulation, University of Bonn, Bonn, Germany; Department of Electrical and Computer Engineering, University of Massachusetts Amherst, Amherst, MA, USA; Institute for Numerical Simulation, University of Bonn, Bonn, Germany",IEEE Access,,2020,8,,42200,42216,"Machine learning methods have been remarkably successful for a wide range of application areas in the extraction of essential information from data. An exciting and relatively recent development is the uptake of machine learning in the natural sciences, where the major goal is to obtain novel scientific insights and discoveries from observational or simulated data. A prerequisite for obtaining a scientific outcome is domain knowledge, which is needed to gain explainability, but also to enhance scientific consistency. In this article, we review explainable machine learning in view of applications in the natural sciences and discuss three core elements that we identified as relevant in this context: transparency, interpretability, and explainability. With respect to these core elements, we provide a survey of recent scientific works that incorporate machine learning and the way that explainable machine learning is used in combination with domain knowledge from the application areas.",2169-3536,,10.1109/ACCESS.2020.2976199,Fraunhofer Cluster of Excellence Cognitive Internet Technologies; Deutsche Forschungsgemeinschaft; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9007737,Explainable machine learning;informed machine learning;interpretability;scientific consistency;transparency,Machine learning;Data models;Mathematical model;Kernel;Biological system modeling;Approximation algorithms;Data mining,learning (artificial intelligence);natural sciences computing,scientific insights;scientific discoveries;machine learning methods;natural sciences;scientific outcome;explainability;scientific consistency,,,117.0,CCBY,,,,IEEE,IEEE Journals
8,Evolving Rule-Based Explainable Artificial Intelligence for Unmanned Aerial Vehicles,B. M. Keneni; D. Kaur; A. Al Bataineh; V. K. Devabhaktuni; A. Y. Javaid; J. D. Zaientz; R. P. Marinier,"Electrical Engineering and Computer Science Department, The University of Toledo, Toledo, OH, USA; Electrical Engineering and Computer Science Department, The University of Toledo, Toledo, OH, USA; Electrical Engineering and Computer Science Department, The University of Toledo, Toledo, OH, USA; Electrical Engineering and Computer Science Department, The University of Toledo, Toledo, OH, USA; Electrical Engineering and Computer Science Department, The University of Toledo, Toledo, OH, USA; Soar Technology, Inc., Ann Arbor, MI, USA; Soar Technology, Inc., Ann Arbor, MI, USA",IEEE Access,,2019,7,,17001,17016,"In this paper, an explainable intelligence model that gives the logic behind the decisions unmanned aerial vehicle (UAV) makes when it is on a predefined mission and chooses to deviate from its designated path is developed. The explainable model is on a visual platform in the format of if-then rules derived from the Sugeno-type fuzzy inference model. The model is tested using the data recorded from three different missions. In each mission, adverse weather, conditions and enemy locations are introduced at random locations along the path of the mission. There are two phases to the model development. In the first phase, the Mamdani fuzzy model is used to create rules to steer the UAV along the designated mission and the rules of engagement when it encounters weather and enemy locations along and near its chosen mission. The data are gathered as UAV traverses on each mission. In the second phase, the data gathered from these missions are used to create a reverse model using a Sugeno-type fuzzy inference system based on the subtractive clustering in the data. The model has seven inputs (time, x-coordinate, y-coordinate, heading direction, engage in attack, continue mission, and steer UAV) and two outputs (weather conditions and distance from the enemy). This model predicts the outputs regarding the weather conditions and enemy positions whenever UAV deviates from the predefined path. The model is optimized with respect to the number of rules and prediction accuracy by adjusting subtractive clustering parameters. The model is then fine-tuned with ANFIS. The final model has six rules and root mean square error value that is less than 0.05. Furthermore, to check the robustness of the model, the Gaussian random noise is added to a UAV path, and the prediction accuracy is validated.",2169-3536,,10.1109/ACCESS.2019.2893141,"Soar Technology, Inc.; Air Force Research Laboratory; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8612916,Explainable artificial intelligence (XAI);fuzzy logic;ANFIS;unmanned aerial vehicle (UAV);subtractive clustering,Fuzzy logic;Unmanned aerial vehicles;Predictive models;Machine learning;Data models;Fuzzy sets;Atmospheric modeling,autonomous aerial vehicles;fuzzy control;fuzzy logic;fuzzy reasoning;fuzzy set theory;fuzzy systems;inference mechanisms;knowledge based systems;mean square error methods;path planning,unmanned aerial vehicles;explainable intelligence model;Sugeno-type fuzzy inference model;different missions;enemy locations;model development;Mamdani fuzzy model;designated mission;chosen mission;UAV traverses;reverse model;Sugeno-type fuzzy inference system;steer UAV;weather conditions;UAV deviates;predefined path;final model;UAV path;evolving rule-based explainable artificial intelligence,,4.0,40.0,,,,,IEEE,IEEE Journals
9,"Evolutionary Fuzzy Systems for Explainable Artificial Intelligence: Why, When, What for, and Where to?",A. Fernandez; F. Herrera; O. Cordon; M. Jose del Jesus; F. Marcelloni,"Data Science and Computational Intelligence, University of Granada, Granada, Spain; Data Science and Computational Intelligence, University of Granada, Granada, Spain; Data Science and Computational Intelligence, University of Granada, Granada, Spain; Data Science and Computational Intelligence, University of Jaen, Spain; University of Pisa, Italy",IEEE Computational Intelligence Magazine,,2019,14,1.0,69,81,"Evolutionary fuzzy systems are one of the greatest advances within the area of computational intelligence. They consist of evolutionary algorithms applied to the design of fuzzy systems. Thanks to this hybridization, superb abilities are provided to fuzzy modeling in many different data science scenarios. This contribution is intended to comprise a position paper developing a comprehensive analysis of the evolutionary fuzzy systems research field. To this end, the ""4 W"" questions are posed and addressed with the aim of understanding the current context of this topic and its significance. Specifically, it will be pointed out why evolutionary fuzzy systems are important from an explainable point of view, when they began, what they are used for, and where the attention of researchers should be directed to in the near future in this area. They must play an important role for the emerging area of eXplainable Artificial Intelligence (XAI) learning from data.",1556-6048,,10.1109/MCI.2018.2881645,Ministerio de Ciencia y Tecnología; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8610271,,"Fuzzy systems;Data models;Data science;Fuzzy sets;Computational modeling;Task analysis;Genetic algorithms;Zadeh, Lotfi",data handling;evolutionary computation;expert systems;fuzzy set theory;fuzzy systems;learning (artificial intelligence),explainable Artificial Intelligence;evolutionary algorithms;fuzzy modeling;eXplainable Artificial Intelligence;evolutionary fuzzy systems;computational intelligence;data science;4W questions,,3.0,81.0,,,,,IEEE,IEEE Magazines
